Job Title,Company,Location,Salary Estimate,Job Description,Job Age
AI Application Engineer,Apple,"Cupertino, CA",$172K - $302K (Employer provided),"Deploy and support AI tools for hardware engineering teams. In this role, you'll work at the intersection of applied AI and software engineering-translating…&hellip;
      
        Skills: TensorFlow, Java, Scalability, AI",4d
AI Application Engineer,Apple,"San Francisco, CA",$140K - $210K (Employer provided),"Deploy and support AI tools for hardware engineering teams. In this role, you'll work at the intersection of applied AI and software engineering-translating…&hellip;
      
        Skills: TensorFlow, Java, Scalability, AI",4d
"AI Engineer, AI & Data Platforms (AiDP)",Apple,"San Francisco, CA",$147K - $272K (Employer provided),"We are seeking a hands-on AI Solutions Engineer with deep technical expertise in Artificial Intelligence and Generative AI who can design, prototype, and…&hellip;
      
        Skills: TensorFlow, Performance tuning, Computer science, System design, Google Cloud Platform",4d
AI/ML Machine Learning Engineer,Lockheed Martin,"Herndon, VA",$89K - $157K (Employer provided),"Bachelor's degree in a STEM discipline (e.g. Electrical Engineering, Computer Science, Computer Engineering, Mathematics, Physics) or equivalent combination of…&hellip;
      
        Skills: MATLAB, Image processing, Computer vision, C#, Java",30d+
AI/ML Engineer,Lockheed Martin,"Herndon, VA",$109K - $217K (Employer provided),"(Washington state applicants only) Non-represented full-time employees: accrue at least 10 hours per month of Paid Time Off (PTO) to be used for incidental…&hellip;
      
        Skills: AI, Python",29d
AI / ML Developer,Centstone,"Louisville, KY",$72K - $114K (Glassdoor est.),"Design, develop, and implement AI/ML models tailored for healthcare applications. Master's or PhD in Computer Science, Data Science, or related field.&hellip;
      
        Skills: TensorFlow, Azure, Computer vision, R, HIPAA",30d+
AI/ML Engineer Level 2,CACI International,"Suitland, MD",$94K - $198K (Employer provided),"Design, develop, and deploy machine learning models and manage pipelines using tools such as Azure ML, Kubeflow, or MLflow. AI Engineer Associate (AI-102).&hellip;
      
        Skills: Azure, Software deployment, Enterprise software, Spark, R",30d+
AI/ML Engineer,CACI International,"Aberdeen Proving Ground, MD",$108K - $228K (Employer provided),"Design, develop, and deploy machine learning models and manage pipelines using tools such as Azure ML, Kubeflow, or MLflow. Type of Travel: Continental US.&hellip;
      
        Skills: Azure, Enterprise software, Spark, R, Git",6d
Machine Learning Engineer II,Uber,"New York, NY",$171K - $190K (Employer provided),"Work closely with multi-functional leads to develop technical vision, new methodological approaches, and drive team direction.&hellip;
      
        Skills: Operations research, Go, Cassandra, Spark, Apache Hive",30d+
Senior AI/ML Engineer,Uber,"San Francisco, CA",$202K - $224K (Employer provided),"Track record of technical leadership: mentoring engineers, driving cross-functional initiatives, or shaping ML/security strategy.&hellip;
      
        Skills: TensorFlow, Spark, Apache Hive, Mentoring, Scalability",30d+
